source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,client_count,listing_code
naab-il6622,IL-6622 Northwest Chicago Suburb,,IL,,1062500,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/il-6622-northwest-chicago-suburb/,,IL6622
naab-in7624,IN-7624 Central Indiana,,IN,,79175,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/in-7624-central-indiana/,,IN7624
naab-vo6621,VO-6621 Virtual Office (OH / KY),,,,,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/vo-6621-virtual-office-oh-ky/,,VO6621
naab-in6618,IN-6618 NW Indiana,,IN,,514125,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/in-6618-nw-indiana/,,IN6618
naab-cpa-practice-for-sale-cleveland-suburb-o,OH-6617 Cleveland Suburb,,OH,,667108,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/cpa-practice-for-sale-cleveland-suburb-ohio/,,
naab-ky6616,KY-6616 South Central Kentucky,,KY,,207500,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/ky-6616-south-central-kentucky/,,KY6616
naab-oh5614,OH-5614 Cincinnati / Dayton Area,,OH,,516000,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/oh-5614-cincinnati-dayton-area-cpa-practice/,,OH5614
naab-tx5611,TX-5611 Anywhere Austin Area,,TX,,292035,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/tx-5611-anywhere-austin-area/,,TX5611
naab-oh5610,OH-5610 NE Cincinnati Suburb,,OH,,98755,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/oh-5610-northeast-cincinnati-suburb/,,OH5610
naab-tx5612,TX-5612 Eastern Houston Suburb,,TX,,163000,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/tx-5612-eastern-houston-suburb/,,TX5612
naab-tax-practice-for-sale-indianapolis-subur,IN-5609 Indianapolis Suburb,,IN,,639280,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/tax-practice-for-sale-indianapolis-suburb/,,
naab-il4603,IL-4603 Western Chicago Suburb,,IL,,604260,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/il-4603-western-chicago-suburb/,,IL4603
naab-in5605,IN-5605 Northwest Indiana,,IN,,435550,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/in-5605-northwest-indiana/,,IN5605
naab-in4705,IN-4705 Northwest Indiana,,IN,,800039,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/in-4705-northwest-indiana/,,IN4705
naab-mi4602,MI-4602 Eastern Michigan,,MI,,831152,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/mi-4602-eastern-michigan/,,MI4602
naab-oh3601,OH-3601 Toledo Area,,OH,,117391,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/oh-3601-toledo-area/,,OH3601
naab-cpa-practice-for-sale-northwest-detroit-,MI-10552 NW Detroit Suburb,,MI,,264196,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/cpa-practice-for-sale-northwest-detroit-suburb-mi-10552/,,
naab-oh6411,OH-6411 Columbus,,OH,,56740,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/oh-6411-columbus/,,OH6411
naab-oh7528,OH-7528 Northeast Cincinnati,,OH,,345465,Accounting Firm,Ready to buy YOUR accounting practice? See a full list of our currently available and recently sold practices!,NAAB Consulting,https://www.naabconsulting.com/practice-listing/oh-7528-northeast-cincinnati/,,OH7528
