source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,client_count,listing_code
poe-nj2007,Highly Profitable Hybrid New Jersey CPA Firm,,NJ,1900000,1500000,CPA Firm,"This well-established hybrid CPA firm in Northern New Jersey, within convenient reach of the New York City metropolitan area, has built a strong, profitable practice on premium service for a loyal, referral-driven client base. The firm serves a deliberate mix of professionals, high-net-worth individuals, closely held businesses, real estate, and family-owned companies, with rates that align with top-tier firms in the region and a client base that pays without resistance. The seller and a tenured equity partner lead a small, capable team that operates at capacity, with engagement letters in pla",Poe Group Advisors,https://poegroupadvisors.com/practice/nj2007/,,NJ2007
poe-nc2106,"Two-Partner CPA Firm for Sale in North Charlotte, NC with 25+ Year Client Relationships",,NC,1500000,1400000,CPA Firm,"This full-service CPA firm has built a strong reputation over 30 years through consistent, relationship-driven service, with many client relationships spanning 15 or more years. All growth has come through referrals, with no formal advertising. Annual fee increases are implemented consistently, supporting steady profitability without relying on new client acquisition.",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2106/,,NC2106
poe-va2036,Self-Sufficient CPA Firm For Sale with 30 Annual Owner Hours,,VA,1500000,969323,Audit/Attest,"This full-service CPA firm has operated as a genuinely self-sufficient practice for over 15 years under the current owners. The two owners work a combined 30 hours annually and are focused on their other CPA firms, checking in one to two hours per month while experienced managing CPAs handle all client relationships, workflow oversight, staff management, and business development. The firm has been established for several decades, and the client base reflects that longevity, with many relationships extending well over two decades. Services span bookkeeping, personal and business tax, audits, co",Poe Group Advisors,https://poegroupadvisors.com/practice/va2036/,,VA2036
poe-nc2108,Virtual CPA Firm with a Self-Sufficient Remote Team,,NC,950000,760000,Bookkeeping/Payroll,"This fully virtual CPA firm offers tax, accounting, bookkeeping, and payroll services to a diverse client base across the US and internationally. Approximately 50% of revenue is derived from business tax, bookkeeping, and payroll services. All preparers are assigned to specific clients, building the long-term relationships that drive retention and referrals.",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2108/,,NC2108
poe-ms2001,Gulf Coast CPA Firm With 40%+ Cash Flow Margins,,MS,750000,576368,Audit/Attest,"This established, full-service CPA firm has built a strong reputation for responsive, personalized service to a loyal client base spanning contracting, restaurants, retail, and services. The firm offers tax preparation and planning, accounting, bookkeeping, payroll, and workers’ compensation audits, with monthly clients receiving proactive tax planning as part of their engagement.",Poe Group Advisors,https://poegroupadvisors.com/practice/ms2001/,,MS2001
poe-nc2109,RELATIONSHIP-DRIVEN CPA FIRM IN WESTERN NORTH CAROLINA WITH 40%+ CASH FLOW,,NC,700000,670000,CPA Firm,"Established Western North Carolina CPA firm with a strong reputation for personalized, attentive service to a loyal client base of individuals, small businesses, nonprofits, and estates. The practice is primarily tax-focused, with a meaningful concentration in estate and trust work, and serves clients through major life transitions with genuine care and responsiveness.",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2109/,,NC2109
poe-tx2011,CPA Firm for Sale in TX with 47% Revenue Growth,,TX,8100000,4200000,CPA Firm,"This full-service firm has built a loyal and growing client base through personalized, education-first service to small and mid-size businesses and individuals. The practice serves a diverse mix of clients. A well-established bilingual service capability serving a significant Spanish-speaking client population has created a distinctively positioned practice in a large and expanding market, supported by strong community recognition and consistent organic referral growth.",Poe Group Advisors,https://poegroupadvisors.com/practice/tx2011/,,TX2011
poe-cp2024,"Virtual CAAS firm with 60% margin, scalable systems, and an offshore team for Sale",,,3300000,1450000,Accounting Firm,"This fully virtual CAAS firm serves marketing, e-commerce, real estate, and professional services clients nationwide, with projected revenue of approximately $1.45M in 2025. The firm operates on a value-billing model with ACH payments, twice-yearly automatic fee increases, and business tax packages averaging approximately $6,800, producing consistent and predictable cash flow.",Poe Group Advisors,https://poegroupadvisors.com/practice/cp2024/,,CP2024
poe-vt2003,Established Three-Partner CPA Firm Serving Southern Vermont & Northern Massachusetts,,VT,3200000,3200000,CPA Firm,"Established for several decades, this three-partner CPA firm has been a trusted financial resource across two New England communities, serving a diverse and loyal client base. The firm is known for attentive, relationship-driven service and has maintained long-standing client relationships built on consistent, high-quality work.",Poe Group Advisors,https://poegroupadvisors.com/practice/vt2003/,,VT2003
poe-nc2105,Well-Established Triad CPA Firm with Strong Real Estate Niche and Loyal Client Base,,NC,2750000,2500000,CPA Firm,"This well-established North Carolina CPA firm has built a strong reputation around commercial real estate expertise, serving a loyal and stable client base that has grown entirely through referrals and long-term relationships. Revenue has increased year-over-year, supported by a disciplined approach to annual fee adjustments.",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2105/,,NC2105
poe-cp2035,Virtual Accounting Firm for Sale Specializing in Nonprofits with Strong Recurring Revenue,,CO,2500000,1455509,Audit/Attest,"Established for over two decades, this fully virtual bookkeeping and accounting firm has built a loyal client base entirely through referrals from auditors, tax accountants, and satisfied clients. The firm operates within a well-defined specialty niche and pairs a CPA with a bookkeeper on every engagement, delivering a high-touch, relationship-driven service model.",Poe Group Advisors,https://poegroupadvisors.com/practice/cp2035/,,CP2035
poe-cp2036,Hybrid Audit & Assurance Firm with Specialty niche & 25% Annual Revenue Growth!,,MI,2500000,1682415,Audit/Attest,"This hybrid audit and assurance firm has built a recognized specialty niche and has grown entirely through word-of-mouth and a deliberately selective client strategy, with revenue increasing consistently year over year. Operations are 100% paperless, supported by audit management software with real-time workflow visibility across the team.",Poe Group Advisors,https://poegroupadvisors.com/practice/cp2036/,,CP2036
poe-nc2103,Respected CPA Firm with Strong Cash Flow and Growth Potential,,NC,2400000,2150000,CPA Firm,"Established for over six decades, this well-respected CPA firm offers a rare opportunity to acquire a practice with deep community roots and long-tenured staff. The firm has maintained steady, sustainable growth through a disciplined and selective approach to client acquisition that preserves its strong office culture. Operations are highly efficient and largely paperless, supported by annual fee increases and consistent service delivery built on deep institutional knowledge.",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2103/,,NC2103
poe-ca2014,Boutique Southern California Firm Serving High-Net-Worth Clients with Real Estate Focus,,CA,2300000,1700000,CPA Firm,"This boutique CPA firm has built a strong reputation serving high-net-worth individuals and businesses with a well-established niche in real estate. The practice operates with a personalized service model focused on quality over volume, supporting steady year-over-year growth and a loyal, long-tenured client base.",Poe Group Advisors,https://poegroupadvisors.com/practice/ca2014/,,CA2014
poe-nc2087,Highly Credentialed CPA Firm with Owner Continuing to Run Company for Sale in Raleigh!,,NC,7500000,5650000,CPA Firm,"This is a well-established CPA firm with 3 locations that has seen amazing growth year after year including a 116% revenue growth in 2 years (including acquisitions)! This firm is the perfect acquisition for a firm, PE buyer or entrepreneur looking to get into the NC market and expand in the South. Affluent clients love this firm as a one stop shop for all their accounting and finance needs. The company has carved out a niche for itself by offering customized financial solutions to match the particular requirements of its clientele, with a focus on helping rural government agencies. They have ",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2087/,,NC2087
poe-ca2011,Growing San Francisco CPA Firm for Sale with 4 partners staying on after close,,CA,5750000,3700000,Advisory/Consulting,"This four-partner CPA firm is a boutique tax practice specializing in accounting and tax services for mid to high-net-worth families and their entities. The firm’s services include equity compensation tax services for tech and biotech founders, S-Corp formation, and foreign income reporting. The firm’s owners have meticulously designed every aspect of the business to ensure top-quality work, high productivity, and exceptional customer service. The service mix is 57% personal tax returns, 29% business tax, and the rest of the book consists of consulting and accounting services. 2023 gross incom",Poe Group Advisors,https://poegroupadvisors.com/practice/ca2011/,,CA2011
poe-cp2012,Turnkey CAS & Tax Cloud Firm with Elite Team & Scalable Growth for Sale!,,TX,5600000,2871998,CPA Firm,"This is a rare opportunity to acquire a high-performing, premium-priced CPA firm with a seasoned leadership team, top-tier staff, and a highly curated client base. Unlike traditional CPA firms, this business operates independently of the owner, with all client relationships owned by the firm rather than any individual employee—ensuring continuity and scalability.",Poe Group Advisors,https://poegroupadvisors.com/practice/cp2012/,,CP2012
poe-fl2003,Turn Key CPA Practice with Highly Credentialed Staff in Tampa for Sale!,,FL,4850000,3900000,Advisory/Consulting,"For over 30 years, this established CPA firm has been a cornerstone for providing top-tier accounting, business consulting and tax solutions. The business is made up of 30% bookkeeping, 50% business and personal tax and 20% business consulting and other. This firm is fully staffed with an impressive, dedicated, and skilled staff. With over 20 employees, several who work remotely, this firm runs very efficiently allowing the owner to focus on management responsibilities. This firm has a reputation for not just being an accountant for its clients but a collaborative partner to ensure their finan",Poe Group Advisors,https://poegroupadvisors.com/practice/fl2003/,,FL2003
poe-tx2006,High Tech Houston CPA Firm with 1500 Owner Hours for Sale,,TX,4500000,3450000,CPA Firm,This long-established and distinguished CPA firm boasts a stellar reputation. TX2006 has exceptional service and an unwavering commitment to client success. This firm has cultivated a dedicated clientele nationwide who are willing to pay high fees and offer referrals. Service at the firm is unmatched thanks to the seasoned and independent 20+ person team! They are a loyal and hardworking group dedicated to client relationships and there has been very little employee turnover.,Poe Group Advisors,https://poegroupadvisors.com/practice/tx2006/,,TX2006
poe-in2002,Exceptional CPA firm with robust professional staff for sale!,,IN,4000000,2884692,CPA Firm,"This is a well-established and highly profitable CPA practice located in Indiana, generating nearly $2.9M in annual revenue. The firm enjoys longstanding relationships with a loyal client base of small to mid-sized businesses and individuals across diverse industries. What truly sets this practice apart is its deep bench of highly credentialed professionals and well-orchestrated workflow.",Poe Group Advisors,https://poegroupadvisors.com/practice/in2002/,,IN2002
poe-nc2090,"Virtual CAS & Tax Firm with Seasoned Staff & 70% Cash flow for Sale in Raleigh, NC",,NC,3995000,1961415,Advisory/Consulting,"This is a well-established and profitable (70%) full-service CAS and tax firm that works with both small and medium-sized businesses. This is a highly professional CPA practice with excellent staff who operate in a collaborative, professional environment with minimal supervision. Cloud platforms, along with practice management software, provide the owner critical insights into the practice while also providing clients with excellent value and a great client experience. This firm provides a full range of accounting and tax services, including bookkeeping, tax planning, payroll and consulting. T",Poe Group Advisors,https://poegroupadvisors.com/practice/nc2090/,,NC2090
poe-tx2003,Dallas/Fort Worth Accounting firm for sale with amazing clients and advisory service offerings!,,TX,3900000,2740850,Advisory/Consulting,"This is not your typical accounting practice. This firm has established itself as a leading player in the industry with long term clients and a fully staffed hybrid office. The majority of clients are handled remotely. Services provided include CFO & financial management, business & financial strategy, fractional accounting and corporate governance. These services are in high demand and are lucrative. Cash flow is consistent throughout the year. This firm has an impressive, dedicated, and skilled staff who work independently.",Poe Group Advisors,https://poegroupadvisors.com/practice/tx2003/,,TX2003
poe-ca2016,45% Cashflow and Growing CPA firm with 70-100% Equity for Sale in Orange County,,CA,3890000,1914605,Advisory/Consulting,"This is a rare opportunity to acquire 70–100% equity in a firm with institutional-level systems and untapped growth potential. The owner is seeking a larger platform or strategic partner to continue scaling. This practice is ideal for a family office, PE group, or multi-office CPA firm aiming to grow through advisory expansion and acquisitions.",Poe Group Advisors,https://poegroupadvisors.com/practice/ca2016/,,CA2016
poe-ca2013,"Established, Rapidly Growing CPA Firm with 40+% Cash Flow in Central California",,CA,3750000,2650000,CPA Firm,"This is a rare combination of legacy stability, rising growth, and solid operational structure—offered with built-in transition support and an outstanding, cohesive team. The firm’s revenue mix is heavily tax-focused, with 49% from personal returns (half tied to business owners), and 33% from business tax—with premium pricing averaging $2,343 per return.",Poe Group Advisors,https://poegroupadvisors.com/practice/ca2013/,,CA2013
poe-ca2006,Incredible Los Angeles firm for Sale with Stellar Employees,,CA,3600000,3556732,Accounting Firm,This 4-partner firm has always put their clients’ needs and future first which is reflected in their reputation within the community. Three out of four owners want to stay on as employees for the right buyer. The partner retiring owns the majority stake.,Poe Group Advisors,https://poegroupadvisors.com/practice/ca2006/,,CA2006
poe-cp2004,Run from anywhere-Premier Hybrid Cloud CPA Firm with Nationwide Locations!,,IL,2700000,2513947,Bookkeeping/Payroll,"This is a unique chance to purchase a premier hybrid cloud CPA company with 5 locations across the US. This firm, which provides services including bookkeeping, payroll, sales tax, tax planning, and preparation, runs smoothly with a dependable, diligent, and remote-ready staff. This company is incredibly lean, focused on low operating costs while upholding excellent service standards thanks to a well-developed infrastructure and simplified processes. A lot of the work is divided among employees from all locations, enhancing efficiency.",Poe Group Advisors,https://poegroupadvisors.com/practice/cp2004/,,CP2004
poe-fc2001,Fully remote cloud accounting firm- Zero owner hours,,,2600000,2600000,Advisory/Consulting,"This is a controller as a service consulting firm for start ups. They perform bookkeeping, tax, and human resources to fully support clients back-office needs. They are committed to helping organizations grow quickly and stay lean. They have fully remote capabilities with clients and employees in multiple states.",Poe Group Advisors,https://poegroupadvisors.com/practice/fc2001/,,FC2001
